Kategorie NEU,Sortierung,Produktbezeichnung,Produzent  ,Ländleherz,"Saisonal 
erhältlich",Produkt Text
Alkoholfreie Gertänke & Sirup,Fruchtsaft,SUTTERLÜTY'S APFEL-BIRNENSAFT,"Mosterei Kramml, Lustenau",Us'm Ländle,,"Die Äpfel und Birnen für dieses reine Naturprodukt stammen von den letzten Rheintaler Streuobstwiesen. Zwar ist die Ernte von den alten Hochstammbäumen etwas mühevoller, aber dafür sind die Aromenvielfalt und Qualität der Früchte einzigartig. Für Sutterlüty’s Rheintaler Apfel-Birnen-Saft kommen in der kleinen Lustenauer Mosterei Krammel nur handverlesene Früchte in die Presse. Der daraus gewonnene Saft kommt danach sofort und ohne Zusätze als Direktsaft in den Frischekarton. Das b’sundrige Geheimnis von diesem Saft sind also die Vorarlberger Äpfel und Birnen und sonst nichts."
Alkoholfreie Gertänke & Sirup,Fruchtsaft,SUTTERLÜTY'S APFELSAFT,"Mosterei Kramml, Lustenau",Us'm Ländle,,"Der naturtrübe Apfelsaft von der Mosterei Krammel ist ein reines Naturprodukt. Das liegt an den Vorarlberger Äpfeln und an der Pressmethode. In die Presse kommen nur ungespritzte und handverlesene Äpfel. Diese stammen ausschließlich von den für das Rheintal so typischen Streuobstwiesen. Dort ist zwar die Ernte aufwändiger, aber dafür sind die Sortenvielfalt und die Qualität einzigartig. Nach der Pressung wird Sutterlüty‘s Apfelsaft sofort als Direktsaft abgefüllt. Das heißt völlig naturbelassen. Sie müssen nur den Zapfhahn aufdrehen, um sein b‘sundriges Aroma zu genießen."
Alkoholfreie Gertänke & Sirup,Fruchtsaft,SUTTERLÜTY'S APFELSAFT BOSKOOP,"Mosterei Kramml, Lustenau",Us'm Ländle,,"Der Boskoop Apfel – bei uns im Ländle auch Lederapfel genannt – ist wegen seiner feinen Säure einer der beliebtesten Saftäpfel unserer Region. Die Äpfel für Sutterlüty’s Boskoop Apfelsaft stammen zu 100 Prozent aus Vorarlberg und der Bodenseeregion. Hier gedeiht der Boskoop Apfel durch das Wechselspiel von kalten und warmen Tagen besonders aromareich. Die kleine Lustenauer Mosterei Krammel presst die handverlesenen Früchte zu Direktsaft, der sofort und ohne Zusätze in die Frischekartons kommt. Das b’sundrige Geheimnis von diesem Saft sind also die sortenreinen Boskoop Äpfel aus unserer Region – und sonst nichts."
Alkoholfreie Gertänke & Sirup,Fruchtsaft,SUTTERLÜTY'S APFELSAFT JONAGOLD,"Mosterei Kramml, Lustenau",Us'm Ländle,,"Jonagold Äpfel werden bei uns im Ländle seit den 1960ern angebaut und gehören mittlerweile zu den beliebtesten Apfelsorten. Ihre süßfruchtige-feinsäuerliche Note ist bei Groß und Klein beliebt. Die Äpfel für Sutterlüty’s Jonagold Apfelsaft stammen zu 100 Prozent aus Vorarlberg und der Bodenseeregion. Hier gedeiht der Jonagold Apfel durch das Wechselspiel von kalten und warmen Tagen besonders gut. Die kleine Lustenauer Mosterei Krammel presst die handverlesenen Früchte zu Direktsaft, der sofort und ohne Zusätze in die Frischekartons kommt. Das b’sundrige Geheimnis von diesem Saft sind also die sortenreinen Jonagold Äpfel aus unserer Region –a und sonst nichts."
Alkoholfreie Gertänke & Sirup,Fruchtsaft gespritzt,SUTTERLÜTY'S APFELSAFT G'SPRITZT,"Mosterei Kramml, Lustenau",Us'm Ländle,,"Sutterlüty’s gespritzter Apfelsaft ist ein reines Naturprodukt. Er wird nicht mit Apfelsaftkonzentrat, sondern direkt aus den Äpfeln der Region hergestellt. Andreas Krammel presst dafür in seiner Lustenauer Mosterei auf besonders schonende Weise handverlesene Äpfel aus der Bodenseeregion. Die allermeisten Äpfel stammen von den für das Rheintal so typischen Streuobstwiesen. Dort ist die Ernte zwar aufwendiger, dafür sind die Sortenvielfalt und damit der Geschmack einzigartig. Zum so gewonnenen Direktsaft kommt nur noch frisches Gebirgsquellwasser aus dem Arlbergmassiv und etwas Kohlensäure. Und fertig ist der b’sundrige Durstlöscher – herrlich erfrischend, völlig natürlich und direkt aus der Region."
Alkoholfreie Gertänke & Sirup,Fruchtsaft gespritzt,SUTTERLÜTY'S HOLUNDERBEERENSAFT G'SPRITZT,"Mosterei Kramml, Lustenau",Ländle Pur,,"Für Sutterlüty’s Holunderbeerensaft g’spritzt nimmt sich Obstsaft-Experte Andreas Krammel aus Lustenau viel Zeit, um den süßen Holunderbeeren von Jens Blum in Höchst und Winder Beeren in Dornbirn durch langsames Pressen ihr intensives Aroma zu entlocken. Aufgespritzt mit prickelndem Vorarlberger Tafelwasser wird daraus Sutterlüty’s Holunderbeerensaft g’spritzt, eine b‘sundrig fruchtig-prickelnde Erfrischung, wie man sie von früher kennt und liebt."
Alkoholfreie Gertänke & Sirup,Fruchtsaft gespritzt,SUTTERLÜTY'S JOHANNISBEERSAFT G'SPRITZT,"Mosterei Kramml, Lustenau",Ländle Pur,,"Für Sutterlüty’s gespritzten Johannisbeerensaft nimmt sich Obstsaftexperte Andreas Krammel aus Lustenau viel Zeit, um den vollreifen Johannisbeeren von Winder Beeren aus Dornbirn durch langsames Pressen ihr intensives Aroma zu entlocken. Aufgespritzt mit prickelndem Vorarlberger Tafelwasser wird daraus Sutterlüty’s Johannisbeerensaft g’spritzt, eine fruchtig-säuerliche Erfrischung, die auch Sportler lieben und schätzen."
Alkoholfreie Gertänke & Sirup,Fruchtsaft gespritzt,SUTTERLÜTY'S APFELSECCO,"Obsthof Strodel, Weißensberg",Ländle Pur,,Sutterlüty’s Apfelsecco wird am Obsthof Strodel in Weißensberg bei Lindau aus makellosen Bodensee-Elstar-Äpfeln gekeltert. Dabei setzt Klaus Strodel auf höchste Qualität und eine schonende Herstellung ohne künstliche Konservierungsstoffe. Feinste Kohlensäure lässt den Apfelsecco im Glas festlich schäumen und sprudeln. Auf Ihr b’sundriges Wohl!
Alkoholfreie Gertänke & Sirup,Limonade,SUTTERLÜTY'S HOLUNDERBLÜTENLIMONADE,"Mosterei Kramml, Lustenau",Ländle Pur,,"Für Sutterlüty’s Holunderblütenlimonade erntet Jens Blum an einem sonnenreichen Tag die Blüten seines Holunderstrauches und setzt diese für einen Auszug in Wasser an. Nach 36 Stunden werden die Blüten wieder entnommen und der Auszug mit Zucker, Limettensaft, Zitronensaft und Citronensäure abgestimmt. Jetzt fehlt für Sutterlüty’s Holunderblütenlimonade nur noch das Tafelwasser und die Kohlensäure und fertig ist der b’sundrige Genuss der Natur – wie damals von der Oma."
Alkoholfreie Gertänke & Sirup,Most,SUTTERLÜTY'S APFELSÜSSMOST,"Mosterei Kramml, Lustenau",Us'm Ländle,,Der frisch gepresste Apfel-Süßmost der Mosterei Krammel aus Lustenau ist ein reines Naturprodukt. Das liegt an der traditionellen Herstellung aus reifem süßem Obst und den Verzicht auf jegliche Zusatz- und Konservierungsmittel. Die richtige Mischung von süßen und säuerlichen Apfelsorten und die Direktpressung sind das Geheimnis des fruchtigen Obstgeschmacks. Und deshalb ist dieser Apfel-Süßmost pur oder gespritzt ein b’sundriger Obstgenuss.
